currency pair id,last trade price,lowest ask,highest bid,percent change in last 24 hours,base currency volume in last 24 hours,quote currency volume in last 24 hours,is frozen,highest trade price in last 24 hours,lowest trade price in last 24 hours,post only,maintenance mode,timestamp
121,36002.20826647,35984.53092838,35970.30994858,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409218.378761
149,2423.37951485,2426.29185469,2425.81244561,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409218.575249
121,36002.20826647,35982.73210044,35968.58680252,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409219.0388446
149,2423.37951485,2426.29185469,2424.33267259,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409219.1618059
121,36002.20826647,35982.73209044,35970.38558549,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409219.821701
149,2423.37951485,2426.29185469,2424.34186955,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409219.8221204
121,36002.20826647,35980.31797107,35970.38558549,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409220.5405889
149,2423.37951485,2427.17865909,2424.34186956,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409220.5409467
121,36002.20826647,35980.31797107,35971.40727240,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409221.2360487
149,2423.37951485,2427.17865908,2424.46315757,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409221.2364595
121,36002.20826647,35996.17788636,35972.18435310,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409221.8513882
149,2423.37951485,2427.17865909,2425.37643437,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409221.8517199
121,36002.20826647,35994.37866731,35973.98356215,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409222.748936
149,2423.37951485,2426.93604359,2424.60729693,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409222.7492867
121,36002.20826647,35992.57945826,35973.98357216,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409223.4361377
149,2423.37951485,2426.93604358,2424.72858552,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409223.6390767
121,36002.20826647,35990.78028418,35973.98357216,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409224.2674756
149,2423.37951485,2426.69346641,2424.72859554,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409224.2678962
121,36002.20826647,35990.78028418,35973.98356215,0.05223464,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409224.9464235
149,2423.37951485,2425.69435818,2424.72860555,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409224.94679
149,2423.37951485,2425.69435818,2424.84986611,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409225.7691154
121,35973.98357215,35990.78028417,35975.78270125,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409226.3563755
149,2423.37951485,2426.45089529,2424.97116166,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409226.4540372
121,35973.98357215,35990.78027418,35977.58186533,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409227.0518346
149,2423.37951485,2426.45089529,2425.09245721,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409227.1566417
121,35973.98357215,35990.78028419,35980.49433829,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409227.7498906
149,2423.37951485,2426.45089529,2425.21374580,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409227.7503488
121,35973.98357215,35990.78028419,35982.29363015,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409228.462461
149,2423.37951485,2426.45089529,2425.33503742,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409228.462824
121,35973.98357215,35990.78028419,35984.09294701,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409229.2572289
149,2423.37951485,2426.45089529,2425.45633208,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409229.257579
121,35973.98357215,35990.78028419,35985.89232884,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409229.958426
149,2423.37951485,2426.40460645,2425.45633208,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409229.9587848
121,35973.98357215,35990.78028419,35987.69175565,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409230.660734
121,35973.98357215,35990.78028419,35985.89233884,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409231.2644613
149,2423.37951485,2426.07720604,2424.80274428,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409231.264705
121,35973.98357215,35990.78028419,35970.38578670,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409231.967979
149,2423.37951485,2425.75526842,2424.95780024,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409231.968247
121,35973.98357215,35990.78028419,35972.18482586,0.04890106,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409232.5658636
